,Advanced Economies,Austria,Belgium,Bangladesh,Bulgaria,Bosnia and Herzegovina,Belarus,Brazil,Barbados,Canada,Chile,China,Colombia,Costa Rica,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,Guatemala,High Income Countries,Honduras,Croatia,Hungary,Indonesia,India,Ireland,Iceland,Israel,Italy,Jordan,Japan,Kazakhstan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,"Moldova, Rep.",Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,Montenegro,Mongolia,EMDE Middle East & N. Africa,Malawi,Malaysia,Nicaragua,Netherlands,Norway,Pakistan,Peru,Philippines,Poland,Portugal,Paraguay,Romania,Russian Federation,EMDE South Asia,Singapore,El Salvador,Serbia,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,Uganda,Ukraine,Uruguay,United States,Uzbekistan,Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,7.95E+12,75300000000,66800000000,NA,NA,NA,NA,3.91E+11,479000000,1.9E+11,55200000000,NA,80000000000,4960000000,3050000000,50500000000,8.49E+11,66100000000,NA,NA,6.82E+11,NA,NA,NA,3.52E+11,NA,52500000000,3.42E+11,4.09E+11,25300000000,NA,8.49E+12,NA,9750000000,16200000000,2.65E+11,1.77E+11,23800000000,NA,26700000000,5.85E+11,NA,1.83E+12,NA,1.43E+11,8.83E+11,NA,NA,NA,5140000000,NA,NA,2.7E+11,NA,NA,NA,NA,NA,NA,1620000000,50700000000,1040000000,1.26E+11,1.45E+11,NA,30100000000,87000000000,82400000000,45700000000,NA,74900000000,2.99E+11,2.02E+11,29400000000,3200000000,11200000000,1.14E+11,14900000000,10100000000,1.1E+11,NA,8960000000,1.22E+11,NA,NA,NA,2.35E+12,NA,NA,1.09E+13,1.08E+11
1996,8.14E+12,74400000000,67100000000,NA,NA,NA,NA,3.98E+11,483000000,1.92E+11,56500000000,NA,77900000000,4960000000,2950000000,51500000000,8.49E+11,67000000000,NA,NA,6.85E+11,NA,NA,NA,3.49E+11,NA,53300000000,3.45E+11,4.15E+11,25600000000,NA,8.68E+12,NA,10000000000,16800000000,2.67E+11,1.93E+11,25700000000,NA,28100000000,5.8E+11,NA,1.87E+12,NA,1.55E+11,9.15E+11,NA,NA,5440000000,5140000000,NA,NA,2.93E+11,NA,NA,NA,NA,NA,NA,1680000000,56300000000,1090000000,1.29E+11,1.53E+11,NA,31000000000,90500000000,90100000000,48100000000,NA,79100000000,2.83E+11,2.21E+11,30300000000,3200000000,11700000000,1.18E+11,15300000000,10200000000,1.12E+11,NA,9170000000,1.29E+11,NA,NA,NA,2.46E+12,NA,NA,1.12E+13,1.12E+11
1997,8.54E+12,79200000000,70400000000,NA,NA,NA,NA,4.13E+11,505000000,2.02E+11,58800000000,5.54E+11,79700000000,5280000000,2950000000,53900000000,8.73E+11,70300000000,NA,NA,6.91E+11,NA,NA,NA,3.73E+11,NA,56800000000,3.6E+11,4.33E+11,25600000000,NA,9.07E+12,NA,10700000000,18600000000,2.81E+11,2.04E+11,30200000000,NA,28600000000,5.99E+11,NA,1.94E+12,NA,1.62E+11,9.71E+11,NA,NA,5820000000,5440000000,NA,NA,3.25E+11,NA,NA,NA,NA,NA,NA,1650000000,62400000000,1150000000,1.28E+11,1.58E+11,NA,32800000000,95200000000,78100000000,49300000000,NA,73900000000,2.89E+11,2.34E+11,31700000000,3380000000,13800000000,1.21E+11,15500000000,10300000000,1.21E+11,NA,9560000000,1.42E+11,NA,NA,NA,2.63E+12,NA,NA,1.17E+13,1.14E+11
1998,8.69E+12,85900000000,72500000000,NA,NA,NA,NA,4.05E+11,538000000,2.09E+11,58100000000,6.04E+11,78600000000,5660000000,3030000000,54800000000,9.1E+11,72300000000,NA,1.05E+12,6.69E+11,NA,NA,3.08E+12,3.93E+11,3130000000,60100000000,3.75E+11,4.5E+11,27900000000,NA,9.21E+12,NA,11600000000,20900000000,2.3E+11,2.13E+11,36100000000,2100000000,29400000000,6.1E+11,NA,1.81E+12,NA,1.52E+11,9.92E+11,NA,NA,7110000000,5440000000,NA,NA,3.56E+11,2.57E+12,NA,NA,NA,NA,NA,1610000000,57800000000,1160000000,1.3E+11,1.57E+11,15700000000,31600000000,84200000000,81800000000,52100000000,NA,61300000000,2.74E+11,2.48E+11,31600000000,3700000000,14300000000,1.17E+11,16300000000,11900000000,1.26E+11,NA,10200000000,1.44E+11,NA,NA,NA,2.79E+12,NA,NA,1.19E+13,1.11E+11
1999,8.95E+12,91300000000,73300000000,NA,NA,NA,NA,4.02E+11,533000000,2.21E+11,57400000000,6.57E+11,68000000000,5950000000,3040000000,53000000000,9.22E+11,72500000000,NA,1.12E+12,6.96E+11,NA,NA,3.19E+12,4.04E+11,3020000000,62300000000,3.85E+11,4.72E+11,28500000000,NA,9.5E+12,NA,11400000000,23100000000,2.34E+11,2.25E+11,41500000000,2180000000,29800000000,6.11E+11,NA,1.81E+12,20700000000,1.89E+11,9.86E+11,NA,NA,6190000000,6060000000,3730000000,NA,3.63E+11,2.64E+12,NA,NA,NA,NA,NA,1430000000,63100000000,1260000000,1.34E+11,1.56E+11,16600000000,31500000000,85100000000,85600000000,53700000000,NA,56600000000,3.05E+11,2.62E+11,36000000000,3920000000,10600000000,1.16E+11,16000000000,11900000000,1.3E+11,NA,10800000000,1.38E+11,NA,NA,NA,2.91E+12,NA,NA,1.22E+13,1.1E+11
2000,9.4E+12,1E+11,82500000000,NA,9750000000,NA,NA,4.29E+11,524000000,2.37E+11,59800000000,7.32E+11,74600000000,6130000000,3160000000,55100000000,9.69E+11,78100000000,NA,1.23E+12,7.78E+11,16100000000,NA,3.48E+12,4.2E+11,3460000000,67600000000,4.01E+11,4.83E+11,30900000000,NA,1E+13,3180000000,11600000000,27300000000,2.49E+11,2.39E+11,47400000000,2320000000,32800000000,6.3E+11,NA,1.91E+12,25900000000,2.21E+11,1.06E+12,NA,NA,6130000000,5870000000,3960000000,NA,3.9E+11,2.87E+12,2410000000,1920000000,769000000,NA,NA,1460000000,75200000000,1300000000,1.52E+11,1.61E+11,21500000000,34000000000,87100000000,92100000000,53500000000,NA,60400000000,3.5E+11,2.82E+11,41500000000,3930000000,11900000000,1.21E+11,16300000000,12600000000,1.32E+11,74200000000,11100000000,1.47E+11,NA,NA,NA,3.02E+12,NA,NA,1.3E+13,1.14E+11
2001,9.2E+12,1.03E+11,86100000000,NA,9950000000,NA,NA,4.36E+11,492000000,2.29E+11,60300000000,8.03E+11,75300000000,6330000000,3220000000,59200000000,9.68E+11,79700000000,NA,1.31E+12,7.85E+11,16700000000,NA,3.58E+12,4.15E+11,3770000000,67600000000,4.05E+11,5.04E+11,29800000000,9010000000,9.82E+12,3290000000,12300000000,28300000000,2.59E+11,2.46E+11,52600000000,2730000000,31200000000,6.25E+11,NA,1.78E+12,31600000000,2.23E+11,1.06E+12,NA,NA,6910000000,6170000000,4380000000,NA,3.82E+11,2.96E+12,2340000000,1800000000,763000000,NA,NA,1320000000,72100000000,1360000000,1.54E+11,1.6E+11,22800000000,33700000000,84800000000,92400000000,54600000000,NA,62700000000,3.6E+11,2.91E+11,36700000000,4060000000,11900000000,1.23E+11,16900000000,13000000000,1.31E+11,74200000000,11500000000,1.34E+11,NA,NA,NA,2.93E+12,NA,NA,1.29E+13,1.17E+11
2002,9.21E+12,1.04E+11,86500000000,NA,10400000000,NA,NA,4.48E+11,495000000,2.34E+11,61800000000,9.05E+11,75300000000,6560000000,3350000000,60400000000,9.57E+11,80300000000,NA,1.43E+12,8.22E+11,16800000000,NA,3.77E+12,4.15E+11,4080000000,68500000000,4.01E+11,5.12E+11,29900000000,9110000000,9.84E+12,3480000000,12900000000,29100000000,2.68E+11,2.58E+11,56900000000,2860000000,30600000000,6.17E+11,6270000000,1.76E+12,36200000000,2.41E+11,1.06E+12,NA,NA,7290000000,6470000000,4680000000,NA,3.7E+11,3.13E+12,2220000000,1810000000,768000000,NA,NA,1330000000,75400000000,1400000000,1.55E+11,1.59E+11,23200000000,35800000000,85200000000,93700000000,54800000000,NA,62500000000,3.71E+11,3.05E+11,39800000000,4170000000,12100000000,1.29E+11,18200000000,13300000000,1.31E+11,81500000000,11500000000,1.47E+11,NA,32300000000,6470000000,2.94E+12,NA,NA,1.3E+13,1.22E+11
2003,9.34E+12,1.06E+11,87700000000,NA,11800000000,NA,NA,4.49E+11,491000000,2.34E+11,65000000000,1.06E+12,76700000000,6870000000,3410000000,62600000000,9.63E+11,78700000000,NA,1.62E+12,8.91E+11,17100000000,NA,4.06E+12,4.21E+11,4530000000,68500000000,3.97E+11,5.26E+11,30100000000,9340000000,1E+13,3700000000,13300000000,31300000000,2.82E+11,2.74E+11,60200000000,2770000000,30500000000,6.1E+11,5740000000,1.82E+12,39300000000,2.54E+11,1.07E+12,NA,NA,8390000000,6810000000,5050000000,NA,3.69E+11,3.37E+12,2320000000,1890000000,788000000,NA,NA,1290000000,82400000000,1440000000,1.53E+11,1.55E+11,25800000000,36000000000,84000000000,1.02E+11,54200000000,NA,62000000000,4.06E+11,3.26E+11,41000000000,4030000000,11800000000,1.26E+11,20900000000,13500000000,1.33E+11,92200000000,11300000000,1.59E+11,NA,37500000000,6950000000,2.98E+12,NA,NA,1.35E+13,1.19E+11
