,Advanced Economies,Argentina,Australia,Austria,Belgium,Bulgaria,Bahrain,Belarus,Brazil,Canada,Switzerland,Chile,Colombia,Cyprus,Czech Republic,Germany,Denmark,Dominican Republic,EMDE East Asia & Pacific,EMDE Europe & Central Asia,Ecuador,"Egypt, Arab Rep.",Emerging Market and Developing Economies (EMDEs),Spain,Estonia,Finland,France,United Kingdom,Greece,High Income Countries,"Hong Kong SAR, China",Croatia,Hungary,Ireland,Iceland,Israel,Italy,Japan,"Korea, Rep.",EMDE Latin America & Caribbean,Low-Income Countries (LIC),Sri Lanka,Lithuania,Luxembourg,Latvia,Morocco,Mexico,Middle-Income Countries (MIC),North Macedonia,Malta,EMDE Middle East & N. Africa,Netherlands,Norway,New Zealand,Pakistan,Peru,Philippines,Poland,Portugal,Romania,Russian Federation,EMDE South Asia,Saudi Arabia,Singapore,EMDE Sub-Saharan Africa,Slovakia,Slovenia,Sweden,Thailand,Tunisia,Turkey,"Taiwan, China",Uruguay,United States,"Venezuela, RB",Viet Nam,World (WBG members),South Africa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,7.354386,NA,8.471058,6.589767,9.673502,11.38583,NA,NA,NA,9.466667,4.232892,NA,NA,NA,4.025,7.091995,NA,NA,NA,9.768115,NA,NA,NA,20.79167,9.75,15.82557,9.625,8.658333,NA,7.673584,3.039959,NA,NA,12.28333,NA,NA,NA,3.153574,NA,NA,NA,12.3,6.116667,2.559387,NA,NA,NA,NA,NA,NA,NA,NA,5.791667,6.449457,5.37,NA,9.525,15.225,7.850721,9.975,8.289285,6.13768,NA,1.725,NA,13.68083,14.04167,10.42756,NA,NA,NA,1.808333,NA,5.591667,NA,NA,NA,NA
1996,7.322514,NA,8.516425,7.033851,9.544409,11.06167,NA,NA,NA,9.608333,4.665679,NA,NA,NA,3.883333,7.744782,NA,NA,NA,10.06256,NA,NA,NA,19.90833,9.95,14.98687,10.1,8.116667,NA,7.7099,2.856166,NA,NA,11.65,NA,NA,NA,3.350839,NA,NA,NA,11.3,7.133333,2.818333,NA,NA,NA,NA,NA,NA,NA,NA,5.083333,6.304477,5.37,NA,8.55,14.3,7.954561,7.775,9.273822,6.026903,NA,1.65,NA,12.605,13.91667,10.8986,NA,NA,NA,2.6,NA,5.408333,NA,NA,NA,NA
1997,7.023768,NA,8.363718,7.103283,9.212289,14.04583,NA,NA,NA,9.091667,5.201972,NA,NA,NA,4.783333,8.564591,NA,NA,NA,10.69807,NA,NA,NA,18.4,9.65,13.03176,10.25,6.983333,NA,7.611438,2.237825,NA,NA,9.858333,NA,NA,NA,3.403121,NA,NA,NA,10.5,5.908333,3.025643,NA,NA,NA,NA,NA,NA,NA,NA,4.141667,6.833208,6.12,NA,8.725,11.50833,7.452022,7.508333,10.82492,6.6052,NA,1.425,NA,12.91417,14.41667,10.8826,NA,NA,NA,2.725,11.55833,4.941667,NA,NA,NA,NA
1998,6.647258,NA,7.651377,7.184796,9.340881,12.20333,NA,NA,NA,8.291667,3.840284,NA,NA,NA,6.466667,8.107012,NA,NA,NA,11.25522,NA,NA,NA,16.40833,9.825,11.75578,9.8,6.266667,NA,7.433577,4.360939,NA,NA,7.55,NA,NA,NA,4.114412,NA,NA,NA,9.2,6.408333,2.796701,NA,NA,NA,NA,NA,NA,NA,NA,3.308333,7.734764,5.89,NA,10.05,10.00833,5.693785,9.266667,11.88359,6.256669,NA,2.575,NA,13.825,14.48333,8.813132,NA,NA,NA,2.7,10.125,4.5,NA,NA,NA,NA
1999,6.325752,NA,6.869885,6.645249,8.41108,13.7825,NA,NA,NA,7.566667,2.713548,NA,NA,NA,8.708333,7.482197,NA,NA,NA,12.65042,NA,NA,NA,13.6,12.25,10.59787,9.55,5.983333,NA,7.477502,6.254886,18.63333,6.525,5.916667,NA,NA,NA,4.683277,NA,NA,NA,8.9,8.383333,2.655528,NA,NA,NA,NA,NA,NA,NA,NA,3.241667,7.016475,5.89,NA,9.775,11.99167,5.07826,11.38333,13.02706,6.223437,4.351138,2.8,NA,17.49083,13.56667,7.564602,NA,NA,NA,2.925,11.2,4.216667,14.50367,NA,NA,NA
2000,5.845738,NA,6.273074,5.803798,6.875592,18.12917,NA,NA,NA,6.833333,1.817696,NA,NA,4.85,8.758333,6.874555,NA,NA,NA,11.44653,NA,NA,NA,11.91667,14.575,10.17562,8.175,5.45,NA,6.88375,5.119731,20.6,5.975,4.383333,NA,NA,NA,4.714846,4.416667,NA,NA,7.6,11.53333,2.380519,NA,NA,NA,NA,NA,NA,NA,NA,3.466667,6.1447,7.82,NA,11.2,14.025,4.697619,11.175,10.55149,7.795629,4.571755,2.6,NA,18.265,12.18333,6.330908,NA,NA,NA,3,13.4,3.966667,13.98188,NA,NA,NA
2001,5.990523,NA,6.765134,6.094126,6.589738,17.50833,NA,NA,NA,7.225,1.700255,NA,14.97301,3.916667,8.116667,6.901246,NA,NA,NA,10.51114,NA,NA,NA,10.575,13,9.534451,7.35,5.083333,NA,6.816017,4.922822,21.51667,5.3,4.183333,NA,NA,NA,5.039315,3.975,NA,NA,7.9,12.53333,2.198996,NA,NA,NA,NA,NA,6.422907,NA,NA,3.633333,5.45462,7.82,NA,11.175,16.21667,4.772225,8.991667,8.950524,7.828862,4.621904,2.675,NA,18.26667,11.55833,5.978618,3.2725,NA,NA,4.561667,15.19167,4.741667,13.3524,NA,NA,26.05511
2002,6.550369,22.42537,6.358194,6.871619,7.526965,17.42667,NA,NA,NA,7.683333,2.550812,NA,15.67144,3.516667,7.291667,7.665995,NA,NA,5.983834,10.64184,NA,NA,NA,11.46667,11.225,9.471138,7.525,5.175,NA,7.29097,7.227346,21.78333,5.4,4.733333,NA,NA,NA,5.373721,3.25,NA,NA,8.8,11.34167,2.499262,12.47432,NA,NA,NA,NA,6.956842,NA,NA,3.908333,5.306666,8.27,9.402833,11.4,19.71667,5.767419,10.18333,8.058492,8.328711,5.27082,3.575,27.83813,17.80833,11.59167,6.096236,2.370833,NA,NA,5.171667,16.75,5.783333,16.22996,NA,8.421016,27.83813
2003,6.762772,17.21658,5.931701,7.014325,8.182808,14.25917,NA,NA,NA,7.591667,3.699936,NA,14.07279,4.108333,7.8,8.770507,NA,NA,5.895526,10.46226,NA,10.41368,NA,11.49167,10.35,9.406623,8.125,5.008333,NA,7.426805,7.920709,19.075,5.45,4.841667,3.510446,NA,NA,5.252234,3.575,NA,NA,8.1,10.275,3.285751,11.65806,NA,NA,NA,NA,7.556806,NA,5.920346,4.491667,4.777104,8.27,9.447859,11.375,19.91667,6.945851,7.558333,8.243252,8.251168,5.558241,4,27.56754,15.18167,11.175,6.71375,2.166667,NA,NA,4.995,17.15,5.991667,18.07433,NA,8.35909,27.56754
2004,6.528094,13.62201,5.395828,7.067989,8.39029,12.67,NA,NA,NA,7.15,3.877498,NA,13.61259,4.616667,8.308333,9.181314,NA,NA,6.042697,9.932444,NA,10.75131,9.247116,10.975,10.125,9.203872,8.525,4.75,10.60887,7.139478,6.882274,17.775,5.675,4.75,3.37461,NA,8.059599,4.714356,3.666667,NA,NA,8.1,6.816667,3.691951,11.75632,NA,NA,NA,37.15246,7.184147,9.969311,6.778997,4.541667,4.02132,7.69,9.447917,11.8,19.5,7.348092,6.75,7.735817,7.735418,5.815326,3.375,25.09254,14.24167,10.59167,7.527585,2.054167,NA,NA,4.419167,13.34167,5.541667,14.99684,NA,7.960626,25.09254
